KAUM科番号,科,Family,和名,学名,Remarks,和名ヘボン式表記
155,キンメダイ科,Berycidae,フウセンキンメ,Beryx mollis Abe 1959,"
福井ほか（2015）Nat Kagoshima 41:177-186，大隅諸島黒島沖；畑ほか（2016）Nat Kagoshima 42:49-56，野間池沖，宇治群島，種子島，黒島；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；和田ほか（2021）Ichthy, Nat Hist Fish Jpn 7:35-52，徳之島；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島黒島；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Aizawa et al (2024) Univ Mus, Univ Tokyo Material Rep 132:213-251，神奈川県
",Fusenkimme
155,キンメダイ科,Berycidae,キンメダイ,Beryx splendens Lowe 1834,"
北島ほか（1976）西海区水産研究所研究報告48:47-92，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；畑ほか（2016）Nat Kagoshima 42:49-56，野間池沖，与論島，口之島，種子島，奄美大島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Motomura (2020) Ichthyofaunal Studies in the Tokara Is，口之島；Koeda et al (2021) J Mar Sci Eng 9:1294，中・西マリアナ海嶺；下瀬（2021）「沖縄さかな図鑑」，沖縄県；川瀬（2022）「千葉県勝浦沖キンメ場の魚」，千葉県勝浦沖；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Kimmedai
155,キンメダイ科,Berycidae,キンメダマシ,Centroberyx druzhinini (Busakhin 1981),"
畑ほか（2016）Nat Kagoshima 42:49-56，枕崎市岩戸山南方；下瀬（2021）「沖縄さかな図鑑」，沖縄県；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島黒島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；佐藤ほか（2023）「トワイライトゾーン深海生物」，沖縄県；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Kimmedamashi
156,イットウダイ科,Holocentridae,ツマグロマツカサ,Myripristis adusta Bleeker 1853,"
江口・本村（2016）Nat Kagoshima 42:57-112，沖縄島，与那国島；Koeda et al (2016) Fishes of Yonaguni，与那国島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Tsumaguromatsukasa
156,イットウダイ科,Holocentridae,アメマツカサ,Myripristis amaena (Castelnau 1873),"
Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」
",Amematsukasa
156,イットウダイ科,Holocentridae,アカマツカサ,Myripristis berndti Jordan & Evermann 1903,"
三浦（2012）「知念市場の魚」，沖縄島；本村ほか（2013）「硫黄島・竹島の魚類」；Kuriiwa et al (2014) CheckList 10:1479-1501，豆南諸島；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；江口・本村（2016）Nat Kagoshima 42:57-112，琉球列島；Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；木村ほか（2017）「口永良部島の魚類」；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；小枝ほか（2018）「内之浦の魚類」；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Motomura (2020) Ichthyofaunal Studies in the Tokara Is，口之島，中之島；小枝ほか（2020）「大隅市場魚類図鑑」；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；下瀬（2021）「沖縄さかな図鑑」，沖縄県；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島硫黄島・黒島；萩原（2022）横須賀市博物館資料集46:1-127，加計呂麻島；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島，馬毛島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Akamatsukasa
156,イットウダイ科,Holocentridae,ウロコマツカサ,Myripristis botche Cuvier 1829,"
本村ほか（2013）「硫黄島・竹島の魚類」；江口・本村（2016）Nat Kagoshima 42:57-112，琉球列島；鏑木（2016）「種子島の釣魚」；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；木村ほか（2017）「口永良部島の魚類」；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；村瀬ほか（2019）「門川の魚類」；Motomura (2020) Ichthyofaunal Studies in the Tokara Is，中之島；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島竹島・硫黄島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Urokomatsukasa
156,イットウダイ科,Holocentridae,キビレマツカサ,Myripristis chryseres Jordan & Evermann 1903,"
三浦（2012）「知念市場の魚」，沖縄島；Kuriiwa et al (2014) CheckList 10:1479-1501，豆南諸島；江口・本村（2016）Nat Kagoshima 42:57-112，琉球列島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Kibirematsukasa
156,イットウダイ科,Holocentridae,ツマリマツカサ,Myripristis greenfieldi Randall & Yamakawa 1996,"
三浦（2012）「知念市場の魚」，沖縄島；江口・本村（2016）Nat Kagoshima 42:57-112，琉球列島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島黒島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Tsumarimatsukasa
156,イットウダイ科,Holocentridae,マルマツカサ,Myripristis hexagona (Lacepède 1802),"
三浦（2012）「知念市場の魚」，沖縄島；江口・本村（2016）Nat Kagoshima 42:57-112，琉球列島；Koeda et al (2016) Fishes of Yonaguni，与那国島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；下瀬（2021）「沖縄さかな図鑑」，沖縄県；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；望月ほか（2022）Ichthy, Nat Hist Fish Jpn 23:19-31，大隅諸島竹島；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島
",Marumatsukasa
